age,HH,HU,HD,UH,UU,UD,lh,lu,lx,prevalence_point,Lh,Lu,Lx,prevalence_interval,prevalence
60,0.9921702660469676,0.007165686877635936,6.640470753964085e-4,0.09991341114806372,0.8783306974060677,0.021755891445868543,0.9638593621081804,0.029963333771253875,0.9938226958794343,0.0301495768767278,0.9615828503646839,0.0315938820010576,0.9931767323657416,0.03181093653473048,0.03181093653473048
61,0.9916358383462988,0.007627431729650747,7.367299240503477e-4,0.0933869101396007,0.8832175349248844,0.023395554935514908,0.9593063386211876,0.03322443023086133,0.9925307688520489,0.03347445870044751,0.9568458054155682,0.03494293660215041,0.9917887420177186,0.03523223759433049,0.03523223759433049
62,0.9910661983801684,0.008116374197981358,8.174274218502579e-4,0.08725924602562748,0.8875893665606488,0.02515138741372366,0.9543852722099486,0.036661442973439484,0.9910467151833882,0.036992648693311564,0.9517216528005792,0.03847394895886612,0.9901956017594453,0.03885489785099333,0.03885489785099333
63,0.99045894488642,0.008634024934910027,9.070301786699988e-4,0.0815087833103912,0.8914598840616282,0.02703133262798058,0.9490580333912099,0.04028645494429275,0.9893444883355026,0.04072035112064117,0.9461723758531233,0.042197202061581174,0.9883695779147045,0.04269374837559272,0.04269374837559272
64,0.9898115048835551,0.009181966693666475,0.001006528422778443,0.07611470040879839,0.8948414546229849,0.029043844968216718,0.9432867183150366,0.04410794917886961,0.9873946674939063,0.04467104252326927,0.9401600139222547,0.046119398906336304,0.986279412828591,0.04676098710614733,0.04676098710614733
65,0.9891211210124204,0.009761855815735269,0.0011170231718441138,0.07105701105270101,0.8977450722111021,0.03119791673619686,0.9370333095294727,0.04813084863380299,0.9851641581632757,0.04885566353077377,0.9336463906602956,0.050243632439153016,0.9838900230994486,0.051066309505686025,0.051066309505686025
66,0.9883848379203946,0.010375423431470078,0.001239738648135362,0.06631657579637835,0.9001803181884124,0.03350310601520912,0.9302594717911185,0.052356416244503046,0.9826158880356215,0.05328268846656898,0.9265929636438002,0.05456923379982666,0.9811621974436269,0.05561693463323831,0.05561693463323831
67,0.9875994876183185,0.011024476308857155,0.0013760360728243973,0.0618751051248148,0.9021553298807016,0.03596956499448351,0.9229264554964818,0.05678205135515026,0.979708506851632,0.05795810790458859,0.9189607727255003,0.05909153123509863,0.9780523039605988,0.060417557420813714,0.060417557420813714
68,0.986761673736325,0.011710897275765412,0.001527428987909602,0.05771515550475538,0.903676775927587,0.0386080685676577,0.9149950899545187,0.061401011115047,0.9763961010695658,0.06288535057420547,0.9107104726416064,0.06380154619223685,0.9745120188338433,0.06547025070925798,0.06547025070925798
69,0.9858677546005912,0.01243664513041478,0.0016956002689939727,0.053820119566146,0.9047498374496932,0.0414300429841609,0.9064258553286942,0.0662020812694267,0.972627936598121,0.06806516528918155,0.9018024409814813,0.06868565011826377,0.9704880910997451,0.0707743358709637,0.0707743358709637
70,0.9849138250489727,0.013203753943000886,0.0018824210080262414,0.05017421146092078,0.9053781942530931,0.04444759428598615,0.8971790266342684,0.07116921896710084,0.9683482456013692,0.07349547984455006,0.8921969564761518,0.07372520451621875,0.9659221609923706,0.07632623775861487,0.07632623775861487
71,0.9838956968995234,0.01401433163834183,0.002089971462134647,0.046762448317284495,0.9055640154734071,0.047673536209308344,0.8872148863180354,0.07628119006533667,0.963496076383372,0.07917125137828233,0.8818544451997807,0.07889620724866389,0.9607506524484446,0.0821193376737234,0.0821193376737234
72,0.9828088779821745,0.014870557734979063,0.0023205642828463,0.04357062859046518,0.9053079542394454,0.051121417170089424,0.876494004081526,0.08151122443199113,0.9580052285135171,0.08508432105163719,0.8707357940383372,0.08416896948106331,0.9549047635194006,0.08814383663858776,0.08814383663858776
73,0.9816485496404667,0.015774680100293554,0.0025767702592398075,0.04058530800498627,0.9046091461105332,0.05480554588448051,0.8649775839951485,0.08682671453013549,0.9518042985252839,0.09122328472845094,0.8588027318738837,0.08950784965113631,0.94831058152502,0.09438664019460248,0.09438664019460248
